simulation_file,IndividualId,QuantityPath,Analyte,Matrix,PKParameter,Predicted,Observed,Ratio_Predicted_Observed,Fold_Error
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|VenousBlood|Plasma|TvcMMAE|conjugatedMMAE,Conjugated MMAE,Plasma,AUCtend,87858.50499999999,128000,0.6863945703125,1.4568879814196702
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|VenousBlood|Plasma|TvcMMAE|conjugatedMMAE,Conjugated MMAE,Plasma,AUCtinf,98121.81000000001,151000,0.6498133112582782,1.5389035322524114
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|VenousBlood|Plasma|TvcMMAE|conjugatedMMAE,Conjugated MMAE,Plasma,Cmax,4035.5597000000002,4046,0.9974195996045477,1.0025870760876119
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|VenousBlood|Plasma|TvcMMAE|conjugatedMMAE,Conjugated MMAE,Plasma,Tmax,0.05,0.167,0.2994011976047904,3.34
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|Tumor|TvcMMAE|conjugatedMMAEtumor,Conjugated MMAE,Tumor,AUCtend,57226.84,40100,1.4271032418952618,1.4271032418952618
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|Tumor|TvcMMAE|conjugatedMMAEtumor,Conjugated MMAE,Tumor,AUCtinf,87757.12833333334,52500,1.6715643492063494,1.6715643492063494
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|Tumor|TvcMMAE|conjugatedMMAEtumor,Conjugated MMAE,Tumor,Cmax,421.9859,353,1.195427478753541,1.195427478753541
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|Tumor|TvcMMAE|conjugatedMMAEtumor,Conjugated MMAE,Tumor,Tmax,51.25,24,2.1354166666666665,2.1354166666666665
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|VenousBlood|Plasma|MMAE|totalMMAEplasma,Total MMAE,Plasma,AUCtend,88236.54000000001,128000,0.68934796875,1.4506461835425548
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|VenousBlood|Plasma|MMAE|totalMMAEplasma,Total MMAE,Plasma,AUCtinf,98617.96666666666,152000,0.6488024122807017,1.5413012977013318
